"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","2000-03-20",,,"84","H,,S","95",",,S","75",",,S"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","2000-03-21",,,"83","H,,S","95",",,S","74",",,S"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","2000-03-25",,,"82","H,,S","95",",,S","71",",,S"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","2000-03-26",,,"83","H,,S","96",",,S","73",",,S"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","2000-03-27",,,"85","H,,S","95",",,S","70",",,S"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","2000-03-28",,,"84","H,,S","96",",,S","69",",,S"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","2000-03-29",,,"84","H,,S","100",",,S","72",",,S"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","2000-03-30",,,"84","H,,S","97",",,S","74",",,S"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","2000-03-31",,,"85","H,,S","95",",,S","73",",,S"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","2000-04-01",,,"85","H,,S","99",",,S","75",",,S"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","2000-04-02",,,"86","H,,S","100",",,S","78",",,S"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","2000-04-03",,,"86","H,,S","99",",,S","79",",,S"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","2000-04-04",,,"87","H,,S","99",",,S","80",",,S"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","2000-04-05",,,"86","H,,S","97",",,S","80",",,S"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","2000-04-06",,,"88","H,,S","101",",,S","79",",,S"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","2000-04-07",,,"85","H,,S","98",",,S","80",",,S"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","2000-04-08",,,"87","H,,S","98",",,S","80",",,S"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","2000-04-09",,,"87","H,,S","100",",,S","78",",,S"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","2000-04-10",,,"88","H,,S","104",",,S",,
